Топик,Подтопик,Поисковой запрос,Текст
Финансы,МТС Банк,Как отключить автоплатёж в МТС Банке,"Отменить автоплатёж можно:

В приложении МТС Банка
Способ 1
1. Зайдите в раздел Платежи 


2. Нажмите Все рядом с надписью Мои платежи


3. Кликните на «карандаш» вверху справа


 

4. Нажмите на знак стоп ⛔ с левой стороны


Способ 2
1. Зайдите в раздел Платежи 


2. Нажмите на автоплатёж, который хотите отключить


3. Нажмите на шестерёнку вверху справа


4. Нажмите Отключить


В личном кабинете МТС Банка
1. Войдите в личный кабинет и откройте раздел Платежи


2. Нажмите на автоплатёж, который будете отключать


3. Справа от надписи Редактирование автоплатежа кликните на значок корзины и нажмите Удалить


В приложении Мой МТС
1. Чтобы отключить автоплатеж на номер МТС, на главном экране нажмите на баланс


2. Нажмите Настроить автоплатёж


3. Нажмите на автоплатёж, который хотите отключить


4. Внизу экрана нажмите Ещё действия


5. Нажмите Отключить


6. Чтобы подтвердить действие, нажмите Да, отключить


Если автоплатёж был подключён в другом банке, отменить его можно через службу поддержки этого банка."
Финансы,МТС Банк,Может ли автоплатёж подключиться сам,"Нет. Если с карты регулярно списывается одинаковая сумма, могут быть такие причины:

автоплатёж подключён при оплате услуг
Система может предлагать установить автоплатёж, когда пополняете баланс номера.

Например, в приложении МТС Банка это выглядит так: под реквизитами оплаты появляется серое поле с надписью Подключить автоплатёж, кнопка переключения зелёного цвета, а кнопка для оплаты называется Оплатить и подключить


Если автоплатёж не нужен, передвиньте кнопку переключения. Она станет серой, а кнопка будет называться Оплатить.

Как отключить автоплатёж, рассказали в статье

это не автоплатёж, а подписка
Например, установили Кинопоиск и оформили подписку от Яндекса. Проверить подписки можно в приложении МТС Банка или в личном кабинете МТС Банка: нажмите на карту, откройте историю операций и найдите нужное списание. В этой операции будет метка «подписка» и название ресурса или сайта, на котором подписка оформлена.

Отключить подписку через банк не получится – только вы сами можете привязывать и отвязывать карты на сторонних сервисах. Можно поискать в интернете руководство пользователя или обратиться к поставщику услуги. Ниже собрали инструкции по отключению популярных подписок:

App Store

Google Play

KION

Яндекс.Плюс

ОККО

IVI

Если не получается отменить подписку, можно перевыпустить карту. Изменятся её номер, срок действия и CVV, и подписка перестанет срабатывать."
Финансы,МТС Банк,Как изменить дату и сумму автоплатежа в МТС Банке,"В приложении МТС Банка
1. Откройте раздел Платежи


2. В разделе Мои платежи выберите автоплатёж, который хотите изменить


3. Пролистайте экран вниз и нажмите Редактировать


4. В открывшейся форме измените всё, что нужно, и нажмите Сохранить


5. Чтобы подтвердить изменения, введите код из СМС

В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите в блоке Шаблоны и платежи раздел Автоплатежи


2. Нажмите на автоплатеж, который хотите изменить


3. В открывшейся форме измените всё, что нужно, и нажмите Сохранить


4. Чтобы подтвердить изменения, введите код из СМС

Если автоплатёж был подключён не в сервисах МТС, а в приложении другого банка, отредактировать его можно там же. "
Финансы,МТС Банк,Как оплатить покупку по QR-коду в приложении МТС Банка,"1. Спросите на кассе, можно ли оплатить покупки по QR-коду

2. В приложении МТС Банка нажмите на иконку QR-кода в верхней части экрана и отсканируйте код


 3. Выберите карту для оплаты и сверьте данные о платеже. Если всё верно, нажмите Оплатить


4. Чтобы подтвердить платёж, введите код из СМС"
Финансы,МТС Банк,Будет ли кешбэк за оплату по QR-коду,Кешбэка за эти операции нет
Финансы,МТС Банк,Будет ли комиссия за оплату по QR-коду,Комиссии за эти операции нет
Финансы,МТС Банк,Как получить чек об оплате покупки по QR-коду,"1. В приложении МТС Банка выберите карту, с которой оплачивали покупку


2. Под изображением карты нажмите История операций


3. В списке операций выберите нужную. Операции с оплатой по QR-коду отмечены иконкой QR-кода


4. Откроется страница с деталями операции. Чтобы получить чек, нажмите Отправить чек


5. Если нужно, чек можно распечатать или отправить по email и в мессенджерах. Для этого нажмите Отправить
"
Финансы,МТС Банк,Какими картами МТС Банка можно оплачивать покупки бесконтактно,"Это зависит от сервиса бесконтактной оплаты:

в МТС Pay можно добавить карты Мир МТС Банка и карты МТС Деньги
к стикеру Pay Tag можно можно привязать карты Мир, VISA и Mastercard МТС Банка, а также любых российских банков
в СБПэй можно добавить любую карту банка-участника СБП, у которой есть счёт. По некоторым виртуальным картам банковский счёт не открывается. Такую карту добавить не получится
в Mir Pay — только карты Мир"
Финансы,МТС Банк,Как настроить бесконтактную оплату MIR Pay,"С приложением MIR Pay вы можете бесконтактно оплачивать картой МИР покупки в магазинах, а также на сайтах по кнопке Оплатить Mir Pay.

Скачать приложение MIR Pay доступно в RuStore или AppGallery. Настроить бесконтактную оплату MIR Pay можно на телефонах Android с NFC.

Как добавить карту в MIR Pay
1. Откройте приложение и нажмите Начать, чтобы подтвердите согласие с условиями предоставления сервиса

2. Нажмите Добавить карту. Отсканируйте карту МИР или введите её реквизиты вручную: номер, срок действия и CVV-код (CVP) с оборотной стороны

3. Чтобы подтвердить добавление карты, введите код из СМС

4. Если вы добавили в приложение MIR Pay несколько карт, выберите одну из них основной — нажмите под её изображением кнопку Для оплаты по умолчанию. Кнопка станет зелёной. Деньги при оплате будут списываться с этой карты. Изменить основную карту можно в любое время


Если на вашем телефоне есть другие приложения для бесконтактной оплаты, вы можете установить MIR Pay основным:

1. Нажмите Настройки


2. В пункте Основное платёжное приложение передвиньте кнопку переключения, чтобы она стала зелёной 


Как оплачивать покупки MIR Pay
Разблокируйте телефон и поднесите его задней панелью к терминалу оплаты. В некоторых случаях потребуется ввести пароль или разрешить оплату по отпечатку пальца.  Деньги будут списаны с карты, которую вы ранее выбрали в приложении. 

Если вы хотите оплатить другой картой:

1. Откройте приложение MIR Pay

2. Выберите раздел Карты


3. Нажмите на нужную карту и поднесите телефон к терминалу. Деньги спишутся с этой карты


Если при оплате Mir Pay кассир просит ввести PIN-код на терминале, введите PIN-код банковской карты."
Финансы,МТС Банк,Как настроить бесконтактную оплату СБПэй,"С приложением СБПэй вы можете бесконтактно оплачивать картой покупки в магазинах. Чтобы платёж прошёл, у вас и у продавца должны быть подключены переводы через Систему быстрых платежей (СБП).

Приложение СБПЭй доступно в RuStore или AppGallery. Настроить бесконтактную оплату СБПэй можно на телефонах Android с версией 7.0 и выше. 

Добавить в СБПэй можно только карту, у которой есть счёт. 

По некоторым виртуальным картам банковский счёт не открывается. Такую карту добавить не получится.

Кешбэк за оплату в приложении СБПэй не начисляется.

Как добавить карту в СБПэй
1. Откройте приложение и нажмите Начать, чтобы подтвердите согласие с условиями предоставления сервиса

2. Выберите банк, счет в котором планируете использовать для оплаты. Приложение СБПэй перенаправит вас в приложение банка для выбора счёта либо вы можете указать номер телефона и счёт карты вручную

3. Чтобы подтвердить добавление карты, введите код из СМС

4. Если вы добавили в приложение СБПэй несколько карт, выберите одну из них основной — на главной странице откройте Счета


Выберите нужную карту. В открывшемся меню выберите Назначить основным счётом. Деньги при оплате будут списываться с этой карты. Изменить основную карту можно в любое время


Как оплачивать покупки СБПэй
оплата через NFC
Разблокируйте телефон и поднесите его задней панелью к терминалу оплаты. На экране появится пуш-уведомление. Перейдите по нему в приложение СБПэй для оплаты покупки.

оплата по QR-коду СБП
Откройте приложение и наведите камеру на код. Проверьте сумму платежа. Чтобы подтвердите оплату, нажмите кнопку Оплатить."
Финансы,МТС Банк,Как настроить бесконтактную оплату МТС Pay на Android,"Оплатить МТС Pay можно везде, где настроена бесконтактная оплата и принимают карты Мир. В МТС Pay можно добавить карты Мир МТС Банка и карты МТС Деньги.

Кешбэк за такие покупки начисляется как обычно — по условиям вашей карты.

 Скачать приложение МТС Pay можно в Google Play или RuStore

Как добавить карту в МТС Pay
1. Нажмите Добавить карту


2. Введите номер карты, срок её действия и CVC-код и нажмите Добавить

3. Подтвердите согласие с Условиями использования карт банка в приложении МТС Pay — нажмите Принять

4. Чтобы подтвердить добавление карты, введите код из СМС

5. Если вы добавили несколько карт, выберите одну из них основной — нажмите под её изображением кнопку Оплачивать этой картой. Деньги при оплате будут списываться с этой карты. Изменить основную карту можно в любое время


Если на вашем телефоне есть другие приложения для бесконтактной оплаты, появится окно с предложением установить МТС Pay как основное. Чтобы подтвердить согласие, нажмите Обновить


Как оплачивать покупки МТС Pay
1. Разблокируйте телефон

2. Поднесите его к платёжному терминалу. Платёж пройдёт за несколько секунд

Что такое токен и как узнать его номер
Для безопасности номер карты автоматически заменяется на виртуальный. Он называется токен.

Чтобы узнать токен, нажмите на карту в приложении. Номер токена, как и номер карты, частично скрыт.  Полный номер токена узнать нельзя
"
Финансы,МТС Банк,Как настроить бесконтактную оплату стикером Pay Tag на iPhone,"Оплачивать Pay Tag можно в России там, где настроена бесконтактная оплата. Стикер работает на iPhone 8 и более новых моделях с iOS 15 и выше. 

Для оплаты можно добавить до 10 карт Мир, VISA и Mastercard МТС Банка, в также любых российских банков.

По картам МТС Банка кешбэк начислится как обычно. Если платите картами других банков или картой МТС Деньги, кешбэка не будет.

Как получить стикер Pay Tag и оплачивать им покупки
1. Оформите стикер Pay Tag на сайте и заберите его в салоне экосистемы МТС. Получить можно один Pay Tag

2. Наклейте стикер на телефон рядом с камерой или внизу в горизонтальном положении. Если есть MagSafe, разместите Pay Tag ниже. Не рекомендуем клеить стикер посередине, так как он может конфликтовать с NFC

3. Добавьте карту в приложении Мой МТС

Как добавить карту в приложении Мой МТС
1. На главной странице перейдите в раздел Каталог


2. Пролистайте экран вниз до раздела Деньги


3. Нажмите на плюс. Введите номер, срок действия карты и CVV-код. Чтобы подтвердить добавление карты, введите код из СМС


4. Если вы добавили несколько карт, выберите одну из них основной. Для этого в разделе Pay Tag нажмите Привязать и в открывшемся списке выберите нужную карту.  Деньги при оплате будут списываться с этой карты. Изменить основную карту можно в любое время

Как оплачивать покупки МТС Pay
1. Разблокируйте телефон

2. Поднесите его к платёжному терминалу. Платёж пройдёт за несколько секунд

Сколько стоит Pay Tag
Pay Tag выдаётся бесплатно.

С какими картами стикер не работает
с картами, которые совмещают две платежные системы, например, МИР и Union Pay
с предоплаченными картами. Эти карты не привязаны к имени владельца и не имеют счёта
Можно ли снять деньги в банкомате с помощью стикера Pay Tag
Нет. Стикером можно только оплачивать покупки. 

Посмотреть баланс, снять деньги или пополнить карту в банкомате не получится.

Что делать, если стикер Pay Tag утерян
Если вы потеряли стикер вместе с телефоном:
1. Переведите iPhone в режим пропажи через Локатор

2. Обратитесь в банк и заблокируйте карты

3. Напишите нам по email mtspay@mts.ru, чтобы заблокировать стикер. Ответим на ваше письмо в течение 24 часов

Если вы потеряли стикер отдельно от телефона, заблокируйте стикер в приложении Мой МТС:
1. На главной странице перейдите в раздел Каталог


2. Пролистайте экран вниз до раздела Деньги


3. В разделе Pay Tag нажмите на шестерёнку


4. В открывшемся окне выберите Заморозить Pay Tag


Восстановить стикер не получится. Чтобы продолжить пользоваться Pay Tag, вы можете бесплатно оформить новый стикер."
Финансы,МТС Банк,Как оплатить ЖКХ с банковской карты,"Есть несколько способов:

Подпишитесь на поиск счетов
Вы можете указать номер единого лицевого счёта, и система сама будет находить и показывать счета к оплате. Эти счета выставляют поставщики услуг. Если вы оплачиваете по счётчикам, уточните у поставщика, как включить показания в счёт.  

Оплатить счета без комиссии можно картой МТС Деньги или любой картой МТС Банка.

Способ 1. В приложении МТС Банка
1. Выберите на главной странице раздел Платежи


2. В разделе Мои платежи выберите Счета на оплату


3. Нажмите Создать новый


4. Выберите ГИС ЖКХ или услугу по вашему региону, например, ЖКХ Москвы


5. Введите ФИО плательщика и единый лицевой счёт. Нажмите Сохранить и найти счета


Когда поставщик выставит счёт к оплате, покажем уведомление на главном экране приложения, а также пришлём СМС или пуш. Нажмите на уведомление в приложении, выберите нужный счёт и перейдите к оплате 


Способ 2. В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите раздел Платежи


2. В разделе Шаблоны и автоплатежи нажмите Добавить новый


3. Выберите Счета на оплату > Новый счёт


4. Выберите ГИС ЖКХ или услугу по вашему региону, например, ЖКХ Москвы


5. Введите название шаблона и единый лицевой счёт. Нажмите Сохранить


Когда поставщик выставит счёт к оплате, покажем уведомление в разделе Платежи, а также пришлём СМС или пуш. Нажмите на уведомление в личном кабинете, выберите нужный счёт и перейдите к оплате


Отсканируйте QR-код на счёте
1. В приложении МТС Банка нажмите на иконку QR-кода в верхней части экрана и отсканируйте код


2. Если поставщик услуги есть в каталоге, откроется форма для оплаты. Выберите карту для списания и сверьте данные о платеже. Если всё верно, нажмите Продолжить. Комиссии за такие платежи нет

Если поставщика в каталоге нет, откроется форма для оплаты по реквизитам. Выберите карту для списания, проверьте заполнение всех полей формы и нажмите Перевести. Переводы по реквизитам с карт МТС Банка без комиссии


Выберите поставщика услуг из каталога
Оплатить без комиссии можно с карты МТС Деньги и любой карты МТС Банка.

Способ 1. В приложении МТС Банка
1. Выберите на главной странице раздел Платежи


2. В разделе Оплата выберите ЖКХ, квартплата


3. Проверьте, правильно ли выбран ваш регион, и выберите нужного поставщика из списка. Если такого поставщика нет, вы можете оплатить по реквизитам


4. Выберите карту для оплаты. Укажите реквизиты и сумму платежа. Нажмите Оплатить


Способ 2. В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите раздел Платежи


2. В разделе Платежи выберите ЖКХ, квартплата


3. Проверьте, правильно ли выбран ваш регион, и выберите нужного поставщика из списка. Если такого поставщика нет, вы можете оплатить по реквизитам


4. Укажите реквизиты и сумму платежа, выберите карту для оплаты и нажмите Оплатить


Переведите по реквизитам, если поставщика нет в каталоге
Переводы по реквизитам с карт МТС Банка без комиссии.

Способ 1. В приложении МТС Банка
1. На главной странице выберите раздел Платежи


2. В разделе Оплата выберите Реквизиты


3. Выберите карту, с которой будете переводить деньги. Введите реквизиты поставщика услуг, сумму платежа и нажмите Перевести


Способ 2. В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите раздел Платежи


2. В разделе Платежи выберите Свободные реквизиты


3. Выберите Оплата по счету юридическому лицу (кроме бюджетных)


4. Введите реквизиты поставщика услуг и сумму платежа. Выберите карту для оплаты и нажмите Оплатить"
Финансы,МТС Банк,"Как оплатить госуслуги, штрафы, налоги","Без комиссии можно оплатить с карты МТС Деньги и любой карты МТС Банка.

В приложении МТС Банка
Способ 1. Оплата через поиск платежей или по уникальному идентификатору начисления (УИН):

1. На главной странице выберите Платежи


2. В разделе Оплата выберите Госуслуги, штрафы, налоги


3. Выберите нужную услугу для оплаты


4. Для поиска неоплаченных налогов, штрафов ГАИ (ГИБДД) и ФССП в разделе Найти заполните все поля и нажмите кнопку Найти. Система проверит неоплаченные счета. Если они есть, откроется страница с суммой платежа и кнопкой Оплатить


Если у вас появится неоплаченный счёт, покажем уведомление на главном экране приложения, а также пришлём СМС или пуш


5. Также вы можете оплатить по УИН или номеру постановления ФССП. Выберите нужную услугу и в разделе Оплатить укажите номер документа, данные плательщика и сумму платежа


Способ 2. По QR-коду на счёте

1. В приложении МТС Банка нажмите на иконку QR-кода в верхней части экрана и отсканируйте код


2. Выберите карту для оплаты и сверьте данные о платеже. Если всё верно, нажмите Продолжить

3. Чтобы подтвердить платёж, введите код из СМС

В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите раздел Платежи


2. В разделе Платежи выберите Госуслуги, штрафы, налоги


3. Выберите нужную услугу для оплаты


4. Для поиска неоплаченных налогов, штрафов ГАИ (ГИБДД) и ФССП в разделе Проверить заполните все поля и нажмите кнопку Найти счета. Система проверит неоплаченные счета. Если они есть, откроется страница с суммой платежа и кнопкой Оплатить


Если у вас появится неоплаченный счёт, покажем уведомление в разделе Платежи, а также пришлём вам СМС или пуш. Нажмите на уведомление в личном кабинете, выберите нужный счёт и перейдите к оплате


5. Также вы можете оплатить по УИН или номеру постановления ФССП. Выберите нужную услугу и в разделе Оплатить укажите номер документа, данные плательщика и сумму платежа
"
Финансы,МТС Банк,Как получить чек об оплате с банковской карты,"В приложении МТС Банка
1. В приложении МТС Банка выберите карту, с которой оплачивали покупку


2. Под изображением карты нажмите История операций


3. В списке операций выберите нужную


4. Откроется страница с деталями операции. Чтобы получить чек, нажмите Отправить чек


5. Если нужно, чек можно распечатать или отправить по email и в мессенджерах. Для этого нажмите Отправить


В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите раздел История


2. В списке операций выберите нужную. Для поиска можно нажать Фильтры и выбрать карту и период


3. Откроется страница с деталями операции. Чтобы получить чек, нажмите Сохранить чек
"
Финансы,МТС Банк,Почему не проходит оплата с карты МТС Банка,"В зависимости от способа оплаты могут быть разные причины, но для каждой ситуации есть своё простое решение:

Оплата по QR
у вас старая версия приложения МТС Банка. Обновите приложение
на карте недостаточно денег для оплаты. Выберите другую карту для оплаты
превышен лимит покупок по карте. Лимит может быть установлен банком — это можно проверить в тарифе карты, или вами в приложении. Используйте другую карту для оплаты или снимите лимиты в приложении
нет интернета или включён VPN
проблема с QR-кодом. Например, у QR-кода истёк срок действия или он некачественно распечатан. Также продавец мог неправильно сформировать QR-код
камера не может отсканировать QR-код из-за плохого освещения 
Оплата через приложение МТС Pay
включите NFC-модуль в настройках смартфона
выключите VPN. С ним приложение не работает
поднесите телефон ближе к терминалу оплаты
проверьте, разблокирован ли телефон
проверьте связь и интернет
Если оплата так и не прошла, напишите нам по email mtspay@mts.ru. Ответим на ваше письмо в течение 24 часов.

Оплата стикером Pay Tag
Могут быть две ситуации:

терминал не реагирует — проблема может быть как в стикере, так и в терминале. Попробуйте оплатить покупку в другом терминале или магазине
терминал выдаёт ошибку — в этом случае со стикером всё в порядке. Но нам нужно разобраться, в чём может быть проблема
Если оплата не проходит в нескольких магазинах или на терминале ошибка, напишите нам по email mtspay@mts.ru. В письме расскажите, когда и в каких магазинах стикер не сработал и какой картой пытались оплатить. Ответим вам в течение 24 часов."
Финансы,МТС Банк,Как вернуть деньги при ошибочной оплате покупки или услуги,"Если деньги после ошибочной оплаты не вернулись на карту, они ушли получателю. Чтобы их вернуть, свяжитесь с организацией или оператором связи, куда был сделан платёж, и предъявите чек

Статьи по теме

Как вернуть ошибочный платёж на номер телефона: https://l.mts.ru/oshibochnii-platyozh-mob"
Финансы,МТС Банк,"Что делать, если не пришли деньги за возврат покупки, оплаченной стикером Pay Tag","Если в течение 7 дней деньги не поступили, напишите нам по email mtspay@mts.ru

В письме укажите:

дату и стоимость покупки, название магазина
дату и сумму возврата
реквизиты карты для возврата
Если у вас есть чек возврата, прикрепите его к письму.

Ответим на ваше письмо в течение 24 часов."
Финансы,МТС Банк,Как перевести деньги с карты на карту по номеру телефона,"Как перевести деньги с карты на карту по номеру телефона
С карты МТС Банка доступны переводы:

на карту МТС Банка
в другой банк через Систему быстрых платежей (СБП)
Деньги сразу поступят получателю.

Перевести можно:

В приложении МТС Банка
1. На главной странице выберите карту, с которой будете переводить деньги


2. Нажмите Перевести


3. Выберите способ перевода По номеру телефона


4. Напишите номер телефона получателя или выберите его из контактов в телефоне


5. Укажите банк получателя и сумму перевода. Нажмите Продолжить


6. Проверьте имя получателя. Если всё верно, нажмите Перевести

7. Введите код из СМС, чтобы подтвердить перевод

В личном кабинете МТС Банка
1. Войдите в личный кабинет и выберите карту, с которой будете переводить деньги


2. Нажмите Перевести


3. Выберите способ перевода По номеру телефона


4. Укажите номер телефона, банк получателя и сумму перевода. Нажмите Продолжить


5. Проверьте имя получателя. Если всё верно, нажмите Перевести

6. Введите код из СМС, чтобы подтвердить перевод

Если при переводе появится надпись «Получатель не найден», уточните у получателя, подключил ли он приём переводов по номеру телефона и есть ли у него карта выбранного банка.

Если у клиента Сбербанка не подключены входящие переводы по СБП, приложение рассчитает комиссию и покажет подсказку «Как оплатить без комиссии?». В подсказке — инструкция, как подключить СБП в приложении Сбербанк Онлайн. Её можно отправить по email или в мессенджерах."
Финансы,МТС Банк,Как подключить входящие переводы по СБП,"Как подключить входящие переводы по СБП
Если у вас есть карта или счёт МТС Банка, ничего настраивать не нужно — входящие переводы по Системе быстрых платежей (СБП) подключены по умолчанию.

Если ранее вы отключили входящие переводы по СБП, подключите их в приложении МТС Банка:

1. Откройте раздел Ещё


2. Откройте раздел Переводы и платежи


3. Выберите Входящие переводы


4. Нажмите на кнопку переключения Принимать переводы СБП, чтобы она стала зелёной


5. Откроется страница, на которой нужно выбрать счёт для зачисления. Ещё вы можете сделать МТС Банк основным для СБП. Тогда при переводе вам из другого банка деньги автоматически будут зачисляться на счёт в МТС Банке. Отправитель может выбрать и другой банк, если потребуется


На какие счета нельзя перевести по СБП
на закрытую карту или закрытый счёт
на счета в иностранной валюте
Также на некоторых виртуальных картах есть ограничение по максимальному балансу — 60 000 ₽. Если при переводе по СБП остаток получается больше 60 000 ₽, перевод отклоняется.

Проверить лимит можно в приложении МТС Банка. Нажмите на карту > Тарифы > Тарифы и условия"
Финансы,МТС Банк,Сколько стоит перевод по СБП,"Сколько стоит перевод по СБП
В месяц бесплатно можно перевести себе до 30 млн ₽, другим клиентам — до 100 000 ₽.

Если сумма больше, будет комиссия 0,5%, но не более 1 500 ₽ за один перевод.
"
Финансы,МТС Банк,Как сделать МТС Банк основным для приёма переводов по СБП,"Как сделать МТС Банк основным для приёма переводов по СБП
Если ваш номер телефона привязан к нескольким банкам, вы можете выбрать МТС Банк основным. Тогда при переводе вам из другого банка деньги автоматически будут зачисляться на счёт в МТС Банке. Отправитель может выбрать и другой банк, если потребуется.

Установить МТС Банк основным можно в приложении МТС Банка:

1. Откройте раздел Ещё


2. Откройте раздел Переводы и платежи


3. Выберите Входящие переводы


4. Если кнопка переключения Принимать переводы СБП зелёная — переводы СБП подключены. Нажмите Выбрать МТС Банк основным


5. Введите код из СМС, чтобы подтвердить подключение

Если после этого вы выберете другой банк по умолчанию в Системе быстрых платежей, то настройка в МТС Банке будет отменена. В качестве основного банка будет использоваться тот, который вы укажете последним.

На какие счета нельзя перевести по СБП
на закрытую карту или закрытый счёт
на счета в иностранной валюте
Также на некоторых виртуальных картах есть ограничение по максимальному балансу — 60 000 ₽. Если при переводе по СБП остаток получается больше 60 000 ₽, перевод отклоняется.

Проверить лимит можно в приложении МТС Банка. Нажмите на карту > Тарифы > Тарифы и условия
"
